=======Début heuristique=======
Ordre :  [ 5  9  4  3  7 12  2  4 13  9  5  7  2  8  3 11  0  6 12  3 13 11  6  0
  3  2 11  9 12 11 13  3  0  6 14  9 12  4  6 12  9 11 10  2  6  1 14  4
 13  4  0  2  1  8  7 13  0 14  8  1  1  7 14  8  1 14 10  7  8 10  5 10
 10  5  5]
Durée :  973
=======Fin heuristique=======

=======Début descente directe=======
Convergence terminée
Descente directe :  [ 5  9  4  3  7 12  2  4 13  9  5  7  2  8  3 11  0  6 12  3 13 11  6  0
  3  2 11  9 12 11 13  3  0  6 14  9 12  4  6 12  9 11 10  2  6  1 14  4
 13  4  0  2  1  8  7 13  0 14  8  1  1  7 14  8  1 14 10  7  8 10  5 10
 10  5  5]
Durée :  973

=======Début exploration génétique=======
Iteration : 0, moyenne des durée : 983.45, durée min : 973, durée max : 1035
Meilleur temps trouvé : 915
=======Début descente directe=======
Meilleur temps trouvé : 910
=======Convergence terminée=======
Iteration : 3600, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 3650, moyenne des durée : 910.05, durée min : 910, durée max : 915
Iteration : 3700, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 3750, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 3800, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 3850, moyenne des durée : 911.37, durée min : 910, durée max : 944
Iteration : 3900, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 3950, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4000, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4050, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4100, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4150, moyenne des durée : 911.1, durée min : 910, durée max : 944
Iteration : 4200, moyenne des durée : 911.42, durée min : 910, durée max : 949
Iteration : 4250, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4300, moyenne des durée : 910.4, durée min : 910, durée max : 931
Iteration : 4350, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4400, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4450, moyenne des durée : 910.05, durée min : 910, durée max : 915
Iteration : 4500, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4550, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4600, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4650, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4700, moyenne des durée : 910.09, durée min : 910, durée max : 919
Iteration : 4750, moyenne des durée : 910.05, durée min : 910, durée max : 915
Iteration : 4800, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4850, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4900, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 4950, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5000, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5050, moyenne des durée : 910.06, durée min : 910, durée max : 916
Iteration : 5100, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5150, moyenne des durée : 910.11, durée min : 910, durée max : 916
Iteration : 5200, moyenne des durée : 910.05, durée min : 910, durée max : 915
Iteration : 5250, moyenne des durée : 910.06, durée min : 910, durée max : 916
Iteration : 5300, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5350, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5400, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5450, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5500, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5550, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5600, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5650, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5700, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5750, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5800, moyenne des durée : 912.21, durée min : 910, durée max : 955
Iteration : 5850, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 5900, moyenne des durée : 910.05, durée min : 910, durée max : 915
Iteration : 5950, moyenne des durée : 910.18, durée min : 910, durée max : 923
Iteration : 6000, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6050, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6100, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6150, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6200, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6250, moyenne des durée : 910.71, durée min : 910, durée max : 948
Iteration : 6300, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6350, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6400, moyenne des durée : 910.41, durée min : 910, durée max : 933
Iteration : 6450, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6500, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6550, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6600, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6650, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6700, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6750, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6800, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6850, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6900, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 6950, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7000, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7050, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7100, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7150, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7200, moyenne des durée : 910.54, durée min : 910, durée max : 941
Iteration : 7250, moyenne des durée : 910.26, durée min : 910, durée max : 936
Iteration : 7300, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7350, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 7400, moyenne des durée : 910.1, durée min : 910, durée max : 915
