=======Début heuristique=======
Ordre :  [15 14  4  6 19  7  0  5 19 16  3  1  6 16  0 19 16 16  4  7  4  3  6  5
  0  4 16  6  7 14 11 19  3  8  6 10  5  7  0  3 15  7 18 19 10 13  3  0
 10  1 15 11  5 10 12 11 18  5  1 15  9 10 18 15 14 11 17  1  2  8 11 14
 13  1  9 14 17  4 18 12  2 13  9 17  8 12 12 18  8  2  9 13  8 17  2  9
  2 12 17 13]
Durée :  1268
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 1267
Meilleur temps trouvé : 1266
Meilleur temps trouvé : 1265
Convergence terminée
Descente directe :  [14  4  6 19 16  0  5 19 16  3  1  6 16  0 19 16 16  4  7  4  3  6  5  0
  4  7  6  7 14 11 19  3  8  6 15 10  5  7  0  3 15  7 18 19 10 13  3  0
 10  1 15 11  5 10 12 11 18  5  1 15  9 10 18 15 14 11 17  1  2  8 11 14
 13  1  9 14 17  4 18 12  2 13  9 17  8 12 13 12 18  8  2  9 13  8 17  2
  9  2 12 17]
Durée :  1265

=======Début exploration génétique=======
Iteration : 3400, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3450, moyenne des durée : 1265.33, durée min : 1265, durée max : 1298
Iteration : 3500, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3550, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3600, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3650, moyenne des durée : 1265.24, durée min : 1265, durée max : 1289
Iteration : 3700, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3750, moyenne des durée : 1265.66, durée min : 1265, durée max : 1307
Iteration : 3800, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3850, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3900, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3950, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4000, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4050, moyenne des durée : 1265.23, durée min : 1265, durée max : 1278
Iteration : 4100, moyenne des durée : 1266.66, durée min : 1265, durée max : 1310
Iteration : 4150, moyenne des durée : 1265.46, durée min : 1265, durée max : 1288
Iteration : 4200, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4250, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4300, moyenne des durée : 1265.84, durée min : 1265, durée max : 1307
Iteration : 4350, moyenne des durée : 1265.37, durée min : 1265, durée max : 1302
Iteration : 4400, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4450, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4500, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4550, moyenne des durée : 1265.07, durée min : 1265, durée max : 1272
Iteration : 4600, moyenne des durée : 1265.05, durée min : 1265, durée max : 1270
Iteration : 4650, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4700, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4750, moyenne des durée : 1265.11, durée min : 1265, durée max : 1276
Iteration : 4800, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4850, moyenne des durée : 1265.06, durée min : 1265, durée max : 1270
Iteration : 4900, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4950, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 5000, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 5050, moyenne des durée : 1265.02, durée min : 1265, durée max : 1267
Iteration : 5100, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 5150, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 5200, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 5250, moyenne des durée : 1265.21, durée min : 1265, durée max : 1279
Iteration : 5300, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 5350, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 5400, moyenne des durée : 1265.24, durée min : 1265, durée max : 1280
Meilleur temps trouvé : 1263
=======Début descente directe=======
Meilleur temps trouvé : 1260
Meilleur temps trouvé : 1257
