=======Début heuristique=======
Ordre :  [0 1 9 5 2 4 2 9 8 1 7 4 1 9 5 6 5 2 8 4 9 7 1 6 8 0 2 5 4 7 8 2 0 4 6 5 7
 3 1 6 8 6 0 7 9 0 3 3 3 3]
Durée :  711
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 675
Meilleur temps trouvé : 627
Meilleur temps trouvé : 622
Meilleur temps trouvé : 615
Convergence terminée
Iteration : 3750, moyenne des durée : 611.56, durée min : 611, durée max : 647
Iteration : 3800, moyenne des durée : 614.19, durée min : 611, durée max : 682
Iteration : 3850, moyenne des durée : 615.72, durée min : 611, durée max : 695
Iteration : 3900, moyenne des durée : 618.67, durée min : 611, durée max : 725
Iteration : 3950, moyenne des durée : 617.63, durée min : 611, durée max : 709
Iteration : 4000, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 4050, moyenne des durée : 615.42, durée min : 611, durée max : 694
Iteration : 4100, moyenne des durée : 611.25, durée min : 611, durée max : 623
Iteration : 4150, moyenne des durée : 612.97, durée min : 611, durée max : 681
Iteration : 4200, moyenne des durée : 615.1, durée min : 611, durée max : 706
Iteration : 4250, moyenne des durée : 611.96, durée min : 611, durée max : 645
Iteration : 4300, moyenne des durée : 611.09, durée min : 611, durée max : 620
Iteration : 4350, moyenne des durée : 612.97, durée min : 611, durée max : 673
Iteration : 4400, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 4450, moyenne des durée : 618.12, durée min : 611, durée max : 703
Iteration : 4500, moyenne des durée : 614.93, durée min : 611, durée max : 709
Iteration : 4550, moyenne des durée : 611.65, durée min : 611, durée max : 647
Iteration : 4600, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 4650, moyenne des durée : 612.98, durée min : 611, durée max : 679
Iteration : 4700, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 4750, moyenne des durée : 611.82, durée min : 611, durée max : 652
Iteration : 4800, moyenne des durée : 611.03, durée min : 611, durée max : 614
Iteration : 4850, moyenne des durée : 612.55, durée min : 611, durée max : 663
Iteration : 4900, moyenne des durée : 611.94, durée min : 611, durée max : 677
Iteration : 4950, moyenne des durée : 612.97, durée min : 611, durée max : 684
Iteration : 5000, moyenne des durée : 619.89, durée min : 611, durée max : 705
Iteration : 5050, moyenne des durée : 611.62, durée min : 611, durée max : 634
Iteration : 5100, moyenne des durée : 612.84, durée min : 611, durée max : 663
Iteration : 5150, moyenne des durée : 618.61, durée min : 611, durée max : 698
Iteration : 5200, moyenne des durée : 623.68, durée min : 611, durée max : 733
Iteration : 5250, moyenne des durée : 617.23, durée min : 611, durée max : 704
Iteration : 5300, moyenne des durée : 614.12, durée min : 611, durée max : 682
Iteration : 5350, moyenne des durée : 612.71, durée min : 611, durée max : 662
Iteration : 5400, moyenne des durée : 621.06, durée min : 611, durée max : 709
Iteration : 5450, moyenne des durée : 619.33, durée min : 611, durée max : 709
Iteration : 5500, moyenne des durée : 617.34, durée min : 611, durée max : 693
Iteration : 5550, moyenne des durée : 616.94, durée min : 611, durée max : 704
Iteration : 5600, moyenne des durée : 612.44, durée min : 611, durée max : 682
Iteration : 5650, moyenne des durée : 612.49, durée min : 611, durée max : 693
Iteration : 5700, moyenne des durée : 616.94, durée min : 611, durée max : 697
Iteration : 5750, moyenne des durée : 611.86, durée min : 611, durée max : 637
Iteration : 5800, moyenne des durée : 612.96, durée min : 611, durée max : 670
Iteration : 5850, moyenne des durée : 620.13, durée min : 611, durée max : 710
Iteration : 5900, moyenne des durée : 612.43, durée min : 611, durée max : 661
Iteration : 5950, moyenne des durée : 611.08, durée min : 611, durée max : 619
Iteration : 6000, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 6050, moyenne des durée : 613.94, durée min : 611, durée max : 686
