=======Début heuristique=======
Ordre :  [4 0 6 5 4 1 4 4 0 6 7 6 8 1 5 5 3 4 7 4 5 0 6 8 6 3 4 1 6 4 6 0 5 7 8 3 4
 7 9 6 0 3 1 4 0 1 5 9 8 2 6 9 0 5 8 7 1 9 0 3 9 6 2 5 8 9 0 5 1 5 2 3 8 1
 2 0 3 7 9 2 9 1 9 3 2 7 7 2 1 2 8 3 3 8 7 2 8 9 7 2]
Durée :  1068
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 1040
Meilleur temps trouvé : 1017
Convergence terminée
Descente directe :  [4 0 6 5 4 6 1 4 4 0 6 7 6 8 1 5 5 3 4 7 4 5 0 6 8 6 3 4 1 6 4 6 0 5 7 8 3
 4 7 9 6 0 3 1 4 0 1 5 9 8 2 6 9 0 5 8 7 1 9 0 3 9 2 5 8 9 0 5 8 5 2 3 8 1
 2 0 3 7 9 2 9 1 9 3 2 7 7 2 1 2 8 3 3 8 7 2 1 9 7 2]
Durée :  1017

=======Début exploration génétique=======
Iteration : 3450, moyenne des durée : 1017.87, durée min : 1017, durée max : 1071
Iteration : 3500, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 3550, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 3600, moyenne des durée : 1020.36, durée min : 1017, durée max : 1103
Iteration : 3650, moyenne des durée : 1017.28, durée min : 1017, durée max : 1037
Iteration : 3700, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 3750, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 3800, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 3850, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 3900, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 3950, moyenne des durée : 1017.75, durée min : 1017, durée max : 1055
Iteration : 4000, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4050, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4100, moyenne des durée : 1017.59, durée min : 1017, durée max : 1056
Iteration : 4150, moyenne des durée : 1018.76, durée min : 1017, durée max : 1068
Iteration : 4200, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4250, moyenne des durée : 1020.2, durée min : 1017, durée max : 1111
Iteration : 4300, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4350, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4400, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4450, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4500, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4550, moyenne des durée : 1017.41, durée min : 1017, durée max : 1049
Iteration : 4600, moyenne des durée : 1021.93, durée min : 1017, durée max : 1106
Iteration : 4650, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4700, moyenne des durée : 1017.61, durée min : 1017, durée max : 1055
Iteration : 4750, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4800, moyenne des durée : 1017.32, durée min : 1017, durée max : 1049
Iteration : 4850, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4900, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 4950, moyenne des durée : 1017.47, durée min : 1017, durée max : 1060
Iteration : 5000, moyenne des durée : 1018.02, durée min : 1017, durée max : 1051
Iteration : 5050, moyenne des durée : 1017.16, durée min : 1017, durée max : 1033
Iteration : 5100, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 5150, moyenne des durée : 1017.06, durée min : 1017, durée max : 1023
Iteration : 5200, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 5250, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
