=======Début heuristique=======
Ordre :  [8 3 1 2 0 7 8 5 1 4 9 1 8 0 3 1 4 7 5 9 2 3 2 6 4 9 5 0 4 7 3 4 8 2 7 5 1
 3 6 2 3 5 8 3 0 8 1 6 1 4 6 5 0 9 8 3 4 1 0 6 5 2 0 8 7 1 4 2 6 4 0 2 5 8
 2 2 1 7 3 4 9 7 5 0 5 7 6 9 3 8 0 7 6 9 7 6 9 6 9 9]
Durée :  1050
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 983
Meilleur temps trouvé : 954
Meilleur temps trouvé : 944
Meilleur temps trouvé : 942
Convergence terminée
Descente directe :  [8 3 1 2 0 7 8 5 1 4 9 1 8 0 3 1 4 7 5 9 2 3 2 6 4 9 5 0 4 7 3 4 8 2 7 5 1
 0 6 2 3 5 8 3 0 8 1 6 1 4 6 5 0 9 8 3 4 1 0 6 5 2 0 9 7 1 4 2 6 4 0 2 5 8
 2 2 1 7 3 4 9 7 5 0 5 9 6 9 3 8 9 3 7 6 9 7 6 6 7 8]
Durée :  942

=======Début exploration génétique=======
Iteration : 3700, moyenne des durée : 943.82, durée min : 942, durée max : 991
Iteration : 3750, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 3800, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 3850, moyenne des durée : 942.63, durée min : 942, durée max : 977
Iteration : 3900, moyenne des durée : 942.23, durée min : 942, durée max : 965
Iteration : 3950, moyenne des durée : 942.02, durée min : 942, durée max : 944
Iteration : 4000, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4050, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4100, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4150, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4200, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4250, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4300, moyenne des durée : 944.12, durée min : 942, durée max : 994
Iteration : 4350, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4400, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4450, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4500, moyenne des durée : 945.67, durée min : 942, durée max : 1012
Iteration : 4550, moyenne des durée : 942.75, durée min : 942, durée max : 977
Iteration : 4600, moyenne des durée : 944.04, durée min : 942, durée max : 980
Iteration : 4650, moyenne des durée : 942.83, durée min : 942, durée max : 967
Iteration : 4700, moyenne des durée : 942.02, durée min : 942, durée max : 944
Iteration : 4750, moyenne des durée : 942.04, durée min : 942, durée max : 944
Iteration : 4800, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 4850, moyenne des durée : 942.66, durée min : 942, durée max : 959
Iteration : 4900, moyenne des durée : 944.62, durée min : 942, durée max : 1013
Iteration : 4950, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5000, moyenne des durée : 943.07, durée min : 942, durée max : 980
Iteration : 5050, moyenne des durée : 948.12, durée min : 942, durée max : 1025
Iteration : 5100, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5150, moyenne des durée : 943.6, durée min : 942, durée max : 991
Iteration : 5200, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5250, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5300, moyenne des durée : 942.37, durée min : 942, durée max : 970
Iteration : 5350, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5400, moyenne des durée : 944.68, durée min : 942, durée max : 1027
Iteration : 5450, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5500, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5550, moyenne des durée : 943.07, durée min : 942, durée max : 980
Iteration : 5600, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5650, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5700, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5750, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5800, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5850, moyenne des durée : 943.45, durée min : 942, durée max : 969
Iteration : 5900, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 5950, moyenne des durée : 942.07, durée min : 942, durée max : 949
Iteration : 6000, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6050, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 6100, moyenne des durée : 942.08, durée min : 942, durée max : 950
