=======Début heuristique=======
Ordre :  [8 0 7 3 1 8 0 4 5 6 1 9 4 8 6 1 4 0 7 9 1 0 6 4 9 1 8 0 6 7 4 8 2 5 9 6 3
 2 7 5 9 5 2 5 2 7 2 3 3 3]
Durée :  821
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 756
Meilleur temps trouvé : 713
Meilleur temps trouvé : 704
Meilleur temps trouvé : 695
Meilleur temps trouvé : 687
Meilleur temps trouvé : 685
Convergence terminée
Descente directe :  [8 0 7 3 1 8 0 4 5 6 1 9 4 8 1 4 0 7 9 1 0 6 4 9 1 8 0 6 7 8 2 5 9 6 3 2 7
 5 2 5 2 5 2 3 7 3 9 3 6 4]
Durée :  685

=======Début exploration génétique=======
Iteration : 3900, moyenne des durée : 696.04, durée min : 685, durée max : 765
Iteration : 3950, moyenne des durée : 685.13, durée min : 685, durée max : 698
Iteration : 4000, moyenne des durée : 689.38, durée min : 685, durée max : 754
Iteration : 4050, moyenne des durée : 689.3, durée min : 685, durée max : 762
Iteration : 4100, moyenne des durée : 685.63, durée min : 685, durée max : 732
Iteration : 4150, moyenne des durée : 686.46, durée min : 685, durée max : 743
Iteration : 4200, moyenne des durée : 687.63, durée min : 685, durée max : 755
Iteration : 4250, moyenne des durée : 685.23, durée min : 685, durée max : 700
Iteration : 4300, moyenne des durée : 690.28, durée min : 685, durée max : 756
Iteration : 4350, moyenne des durée : 685.09, durée min : 685, durée max : 691
Iteration : 4400, moyenne des durée : 690.5, durée min : 685, durée max : 759
Iteration : 4450, moyenne des durée : 685.32, durée min : 685, durée max : 711
Iteration : 4500, moyenne des durée : 685.69, durée min : 685, durée max : 712
Iteration : 4550, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 4600, moyenne des durée : 685.64, durée min : 685, durée max : 735
Iteration : 4650, moyenne des durée : 685.18, durée min : 685, durée max : 700
Iteration : 4700, moyenne des durée : 685.22, durée min : 685, durée max : 701
Iteration : 4750, moyenne des durée : 685.72, durée min : 685, durée max : 704
Iteration : 4800, moyenne des durée : 686.52, durée min : 685, durée max : 745
Iteration : 4850, moyenne des durée : 694.48, durée min : 685, durée max : 793
Iteration : 4900, moyenne des durée : 686.05, durée min : 685, durée max : 719
Iteration : 4950, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 5000, moyenne des durée : 688.51, durée min : 685, durée max : 758
Iteration : 5050, moyenne des durée : 693.03, durée min : 685, durée max : 781
Iteration : 5100, moyenne des durée : 685.85, durée min : 685, durée max : 722
Iteration : 5150, moyenne des durée : 686.28, durée min : 685, durée max : 726
Iteration : 5200, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 5250, moyenne des durée : 685.16, durée min : 685, durée max : 701
Iteration : 5300, moyenne des durée : 685.42, durée min : 685, durée max : 720
Iteration : 5350, moyenne des durée : 685.27, durée min : 685, durée max : 701
Iteration : 5400, moyenne des durée : 685.97, durée min : 685, durée max : 728
Iteration : 5450, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 5500, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 5550, moyenne des durée : 686.39, durée min : 685, durée max : 720
Iteration : 5600, moyenne des durée : 687.32, durée min : 685, durée max : 742
Iteration : 5650, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 5700, moyenne des durée : 685.05, durée min : 685, durée max : 688
Iteration : 5750, moyenne des durée : 685.18, durée min : 685, durée max : 701
Iteration : 5800, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 5850, moyenne des durée : 688.96, durée min : 685, durée max : 759
Iteration : 5900, moyenne des durée : 685.93, durée min : 685, durée max : 720
Iteration : 5950, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 6000, moyenne des durée : 685.02, durée min : 685, durée max : 687
